ID	Date	Latitude	Longitude	Accuracy	Battery	Interval	Acceleration	Activity	Date	
5107250619	1393376667025	37.8740542	-122.2587312	37.5	87	30000	0.94970703	still60in_vehicle24unknown15	Tue Feb 25 17:04:28 PST 2014	
5107250619	1393376697110	37.8739802	-122.2587648	32.0	87	30000	0.97119135	still77unknown15in_vehicle7	Tue Feb 25 17:04:58 PST 2014	
5107250619	1393376727096	37.8739714	-122.2588714	39.0	87	30000	0.967041	still92unknown7	Tue Feb 25 17:05:28 PST 2014	
5107250619	1393376757120	37.873909	-122.2589844	32.0	87	30000	0.9291992	still46in_vehicle38unknown15	Tue Feb 25 17:05:59 PST 2014	
5107250619	1393376787167	37.8738796	-122.2589211	39.14	87	30000	0.9584961	still69in_vehicle15unknown15	Tue Feb 25 17:06:29 PST 2014	
5107250619	1393376817137	37.8738535	-122.2590317	30.821	87	30000	0.9733888	still85in_vehicle7unknown7	Tue Feb 25 17:06:58 PST 2014	
5107250619	1393376847268	37.873932	-122.2588924	31.877	87	30000	0.9467773	still85in_vehicle7unknown7	Tue Feb 25 17:07:38 PST 2014	
5107250619	1393376877234	37.8739955	-122.2587908	40.737	86	30000	0.9455567	still77unknown15in_vehicle7	Tue Feb 25 17:08:02 PST 2014	
5107250619	1393376907234	37.8739651	-122.2588532	35.501	86	30000	0.95043933	still77unknown15in_vehicle7	Tue Feb 25 17:08:29 PST 2014	
5107250619	1393376937318	37.8739287	-122.2589166	32.0	86	30000	0.9604492	still62unknown30in_vehicle7	Tue Feb 25 17:09:01 PST 2014	
5107250619	1393376967320	37.8739715	-122.2588381	36.736	86	30000	0.9418946	still85in_vehicle7unknown7	Tue Feb 25 17:09:28 PST 2014	
5107250619	1393376997354	37.8738598	-122.2589474	26.837	86	30000	0.9418946	still69unknown23in_vehicle7	Tue Feb 25 17:09:59 PST 2014	
5107250619	1393377027378	37.8739042	-122.2588852	32.0	86	30000	0.95947266	still69in_vehicle15unknown15	Tue Feb 25 17:10:39 PST 2014	
5107250619	1393377057379	37.8739274	-122.2588676	33.532	86	30000	0.9291991	still61unknown23in_vehicle15	Tue Feb 25 17:10:59 PST 2014	
5107250619	1393377087417	37.8738522	-122.2588869	31.229	86	30000	0.95947266	still77unknown15in_vehicle7	Tue Feb 25 17:11:29 PST 2014	
5107250619	1393377117427	37.8739591	-122.2588591	34.919	86	30000	0.9621582	still84unknown15	Tue Feb 25 17:11:59 PST 2014	
5107250619	1393377147510	37.87403	-122.2588017	41.219	86	30000	0.92260736	still62in_vehicle30unknown7	Tue Feb 25 17:12:37 PST 2014	
5107250619	1393377177539	37.8739625	-122.2588104	25.0	85	30000	0.92431635	still100	Tue Feb 25 17:12:59 PST 2014	
5107250619	1393377207515	37.8738929	-122.2589181	29.291	85	30000	0.9311523	still100	Tue Feb 25 17:13:29 PST 2014	
5107250619	1393377237526	37.8738909	-122.2589249	28.772	85	30000	0.9602051	still100	Tue Feb 25 17:13:58 PST 2014	
5107250619	1393377267576	37.8740079	-122.2587213	49.5	85	30000	0.95776355	still100	Tue Feb 25 17:14:47 PST 2014	
5107250619	1393377297597	37.8739424	-122.2588432	35.6	85	30000	0.9382323	still100	Tue Feb 25 17:14:59 PST 2014	
5107250619	1393377327594	37.8739689	-122.2588133	38.384	85	30000	0.9289551	still100	Tue Feb 25 17:15:29 PST 2014	
5107250619	1393377358548	37.8738725	-122.2590518	30.416	85	30000	0.9584961	still100	Tue Feb 25 17:15:59 PST 2014	
5107250619	1393377388513	37.8739644	-122.2587979	39.339	85	30000	0.95751953	still100	Tue Feb 25 17:16:29 PST 2014	
5107250619	1393377418566	37.8739723	-122.2588541	35.655	85	30000	0.9477538	still100	Tue Feb 25 17:17:00 PST 2014	
5107250619	1393377448599	37.8739046	-122.2588721	29.0	85	30000	0.9682616	still100	Tue Feb 25 17:17:30 PST 2014	
5107250619	1393377479547	37.8738523	-122.2589513	26.524	85	30000	0.92993164	still100	Tue Feb 25 17:18:00 PST 2014	
5107250619	1393377510514	37.8738996	-122.2588917	31.295	85	30000	0.95068353	still100	Tue Feb 25 17:18:31 PST 2014	
5107250619	1393377540566	37.8739599	-122.2588473	35.766	85	30000	0.94042975	still100	Tue Feb 25 17:19:02 PST 2014	
5107250619	1393377571527	37.8739446	-122.2588374	36.062	85	30000	0.95776355	still100	Tue Feb 25 17:19:32 PST 2014	
5107250619	1393377601549	37.8739066	-122.2589161	29.657	85	30000	0.9680175	still100	Tue Feb 25 17:20:03 PST 2014	
5107250619	1393377631521	37.8739165	-122.2588691	35.0	85	30000	0.9589844	still100	Tue Feb 25 17:20:32 PST 2014	
5107250619	1393377661620	37.8739611	-122.2588331	36.787	85	30000	0.96142566	still100	Tue Feb 25 17:21:03 PST 2014	
5107250619	1393377691646	37.8738537	-122.2589281	28.223	84	30000	0.95434564	still100	Tue Feb 25 17:21:33 PST 2014	
5107250619	1393377721649	37.8739538	-122.2588298	36.825	84	30000	0.961914	still100	Tue Feb 25 17:22:03 PST 2014	
5107250619	1393377751707	37.8739374	-122.258835	34.0	84	30000	0.9418944	still100	Tue Feb 25 17:23:02 PST 2014	
5107250619	1393377781711	37.8738479	-122.2589972	32.858	84	30000	0.9589844	still100	Tue Feb 25 17:23:03 PST 2014	
5107250619	1393377811684	37.8739536	-122.2588514	35.305	84	30000	0.95043945	still100	Tue Feb 25 17:23:33 PST 2014	
5107250619	1393377842034	37.8738783	-122.2589288	28.336	84	30000	0.9516601	still100	Tue Feb 25 17:24:03 PST 2014	
5107250619	1393377871990	37.8739416	-122.2588447	35.475	84	30000	0.9602051	still100	Tue Feb 25 17:24:33 PST 2014	
5107250619	1393377901996	37.8738803	-122.2589185	29.105	84	30000	0.9589844	still100	Tue Feb 25 17:25:03 PST 2014	
